ticker,lower_length,upper_length,target,id
ALIG.ST,5.255920833696278,7.308464869219945,156.05,572678
ANOT.ST,7.43405764891961,5.030121917329954,374.79,5480
ALIF-B.ST,16.50553160062312,15.940028755397245,95.88,643541
ALLEI.ST,3.170373643898157,8.615400853985493,36.96,1455120
ALLIGO-B.ST,6.880090821195721,7.994775017380746,321.54,765297
AOI.ST,5.255920833696278,7.308464869219945,51.18,250993
ADDT-B.ST,3.4662821297235595,5.976369580822059,86.58,5537
ATORX.ST,10.647165677802782,10.200268783886221,1987.54,707779
ANNE-B.ST,22.104673604889463,11.214279638422857,53.47,1166180
AMBEA.ST,15.015902346451663,7.590263628799471,189.13,741458
AQ.ST,28.134432986981746,10.4969792051664,2.08,5534
ACAD.ST,25.23236461325025,8.631794804392502,71.05,667476
AFRY.ST,12.534901669144585,6.546869913626933,77.22,5301
ABB.ST,10.210740455124128,5.0,62.83,5447
ACTI.ST,30.0,5.0,307.61,5304
ARP.ST,6.4015461299524565,13.639018176076194,39.98,388806
ARPL.ST,13.849072274546415,5.0,154.23,1232120
ARISE.ST,7.948302952008897,8.944172592599354,207.64,220127
ARION-SDB.ST,10.297400402827716,13.267229864013784,143.17,861076
AZN.ST,13.093638136374645,23.00811233605395,-2.0,3442
ATT.ST,23.55979343451752,14.946722107537314,105.4,612517
ALIV-SDB.ST,13.093638136374645,23.00811233605395,-2.0,5236
ATCO-B.ST,10.041548912197726,5.0,44.01,5235
ASSA-B.ST,7.5494696869910065,5.0,39.4,5271
ARJO-B.ST,24.251850690211267,7.853019103294957,87.43,810953
ACE.ST,18.440852313614926,5.406736060647283,1271.63,941919
ATRLJ-B.ST,14.19197729625245,15.295131101522747,95.73,5374
ATCO-A.ST,7.189286477442988,5.0,42.03,5234
AZA.ST,14.706147458552532,5.0,66.49,5361
AXFO.ST,4.651994234492926,5.0,47.5,5465
B3.ST,9.747182095981652,10.136898365088973,134.42,665185
BRG-B.ST,7.26734214457991,8.722040361561412,7.84,285172
BETS-B.ST,30.0,16.825148671812432,0.0,5482
BEIA-B.ST,20.28462448954659,5.0,10.37,5303
BACTI-B.ST,23.41480932040582,12.021155842011057,153.04,488231
BEGR.ST,6.729870236840643,8.336985431945097,148.62,59050
BETCO.ST,6.4015461299524565,13.639018176076194,65.08,856638
BALCO.ST,11.665508371906249,12.116714242106314,199.85,790858
BICO.ST,5.071221219261779,9.952537227121969,145.44,702377
BEIJ-B.ST,4.409354148702247,5.026799913737941,33.81,5274
BESQ.ST,12.547125272191195,5.0,205.14,483939
BHG.ST,20.718096735712415,13.898880452124251,61.86,838544
BILI-A.ST,11.219555007007887,8.640580575711505,154.34,5276
BERG-B.ST,3.4662821297235595,5.976369580822059,38.45,742356
BILL.ST,13.093638136374645,23.00811233605395,0.0,5556
BIOA-B.ST,19.892400740647737,14.151371356266905,15.8,791946
BINV.ST,16.89057425155177,10.453408114392765,52.2,5505
BIOG-B.ST,11.845176363077773,7.358712423258968,42.14,5349
BORG.ST,4.39956044778884,5.331081592130994,173.85,78529
BOL.ST,5.208177717534357,12.080171081506801,66.25,5564
BONAV-A.ST,20.288887795456038,6.377265655829213,41.71,663401
BONAV-B.ST,30.0,5.0,-81.37,663399
BIOT.ST,22.933737678160153,5.0,81.18,5484
BONEX.ST,9.54927602019752,7.531541189997439,173.88,765299
BOUL.ST,1.0033168697030017,12.558314315795993,80.84,299736
BOOZT.ST,3.081119303948589,12.531188474756586,116.24,757760
BONG.ST,5.5619076561765715,21.948211837243235,69.79,5307
BRAV.ST,3.4662821297235595,5.976369580822059,152.18,602637
BRIN-B.ST,8.933172640462654,5.0,271.56,694166
BTS-B.ST,10.985134987830483,5.0,214.68,5503
CAT-A.ST,6.305981119295593,7.95867543558041,337.29,159628
BUFAB.ST,3.8520581811584527,15.527690625126304,210.71,462932
BULTEN.ST,4.747686982888109,8.293518527619117,193.63,290011
CANTA.ST,12.150263473167069,5.044882701477497,29.2,549022
CALTX.ST,6.992149170225217,5.028970833962884,294.8,863757
BFG.ST,16.903896812629725,5.0,628.72,1290782
CAMX.ST,10.906268772608435,6.769337447392327,255.05,613452
BMAX.ST,15.714239593478435,5.0,248.68,233288
BURE.ST,17.49706605463617,5.0,90.21,5277
CAST.ST,5.255920833696278,7.308464869219945,88.37,5353
CAT-B.ST,6.4015461299524565,13.639018176076194,145.16,159629
CCC.ST,26.1327982265415,5.0,29.94,1139606
CTM.ST,1.0033168697030017,12.558314315795993,4.63,632719
CEVI.ST,12.506256752689428,18.470418350083925,132.58,81967
CATE.ST,13.78331553319745,13.325641115690841,96.03,41007
COLL.ST,13.093638136374645,23.00811233605395,0.0,559858
CINT.ST,11.961282648683568,6.501072081192669,191.94,1192970
CBTT-B.ST,8.540038991800055,7.7667828444388745,143.72,513577
CIBUS.ST,8.446196045651991,5.0,75.24,831975
CLAS-B.ST,4.944090059343372,5.035099300141184,201.65,5457
CNCJO-B.ST,8.100093130322254,8.026688149088233,128.74,5279
CS.ST,6.929115242214006,26.952935909773636,0.0,495283
CCOR-B.ST,20.199260222289865,12.035492742785907,559.99,5356
COIC.ST,5.635793966535898,5.89162490564404,95.32,298354
COOR.ST,5.071221219261779,9.952537227121969,125.88,572375
CLA-B.ST,17.033627721129783,5.684783155697843,38.97,163148
CORE-B.ST,4.186152429761962,25.312520214605527,88.93,811076
CORE-A.ST,25.908403174262723,5.0,52.1,181790
CORE-PREF.ST,20.650887680212467,5.022509604065088,100.16,216649
CORE-D.ST,10.088117173261436,8.13949949684176,120.76,1242472
CRAD-B.ST,1.7942402027398587,21.761687754460056,8.41,88447
CRED-A.ST,13.848534540550741,5.096226437265062,68.41,338588
CTEK.ST,4.973491450756444,12.951182653172172,198.4,1279465
CTT.ST,27.92164423125866,7.765845761762607,39.35,5425
DEDI.ST,1.7942402027398587,21.761687754460056,-22.65,286778
DOM.ST,7.3713637281123745,11.296150174683218,80.25,611718
DUNI.ST,24.780418041565085,8.731782263389839,69.01,102327
