ticker,target,params
K2A-B.ST,542.68,"{'lower_length': 13.038242023990767, 'upper_length': 12.908952866486063}"
SANION.ST,4188.58,"{'lower_length': 5.711813270557846, 'upper_length': 13.313850512394072}"
INDT.ST,427.98,"{'lower_length': 16.394537164382005, 'upper_length': 7.2241764521856195}"
NETI-B.ST,675.6,"{'lower_length': 39.87936470573313, 'upper_length': 27.083262670628788}"
KDEV.ST,32.08,"{'lower_length': 8.722925883512184, 'upper_length': 49.72733681179052}"
CNCJO-B.ST,97.68,"{'lower_length': 4.8914225370668545, 'upper_length': 48.852030270598945}"
NIBE-B.ST,186.44,"{'lower_length': 11.933940285560672, 'upper_length': 13.710269944196597}"
SYSR.ST,523.93,"{'lower_length': 27.754148901272803, 'upper_length': 13.19612655104909}"
TRANS.ST,552.46,"{'lower_length': 12.949854164130908, 'upper_length': 16.71526095538656}"
INSTAL.ST,438.04,"{'lower_length': 26.07983965120427, 'upper_length': 15.18697004635532}"
