Transaction Type,Ticker,Orderbook ID,Shares,Price,Date,Profit
SELL,HOFI.ST,550518,0.0,37.0,2024-01-16 09:01:18,1
BUY,SAAB-B.ST,5401,-1.0,683.6,2024-01-16 09:01:19,
BUY,SINCH.ST,599956,24.0,28.06,2024-01-16 09:01:48,
SELL,SAAB-B.ST,5401,0.0,680.2,2024-01-16 09:02:11,1
BUY,SAAB-B.ST,5401,0.0,681.0,2024-01-16 09:02:15,
SELL,SAAB-B.ST,5401,0.0,680.2,2024-01-16 09:02:21,1
BUY,OVZON.ST,852674,0.0,10.82,2024-01-16 09:02:57,
SELL,OVZON.ST,852674,0.0,10.74,2024-01-16 09:06:04,1
SELL,SYNACT.ST,674279,0.0,7.75,2024-01-16 09:06:59,1
BUY,SINCH.ST,599956,0.0,28.21,2024-01-16 10:37:35,
BUY,OVZON.ST,852674,62.0,10.82,2024-01-16 09:00:09,
SELL,CAMX.ST,613452,0.0,578.5,2024-01-16 09:01:05,1
SELL,SAAB-B.ST,5401,0.0,680.2,2024-01-16 09:02:11,1
BUY,SAAB-B.ST,5401,0.0,681.0,2024-01-16 09:02:15,
SELL,SAAB-B.ST,5401,0.0,680.2,2024-01-16 09:02:21,1
BUY,LOGI-B.ST,1306448,0.0,12.12,2024-01-16 09:02:52,
SELL,XVIVO.ST,376275,0.0,332.0,2024-01-16 09:04:08,1
SELL,OVZON.ST,852674,0.0,10.74,2024-01-16 09:06:04,1
