Ticker,Date,Action,Shares,Price,Volume,Earning
ALIG.ST,2023-11-22 00:00:00,BUY,2.0,79.5999984741211,94828,11.8
ANOT.ST,2023-11-23 00:00:00,BUY,800.0,0.25,201531,55.6
ALIF-B.ST,2023-12-05 00:00:00,BUY,1.0,101.0999984741211,299405,2.4
ALLEI.ST,2023-11-23 00:00:00,BUY,2.0,73.58000183105469,412423,-9.08
ALLIGO-B.ST,2023-11-23 00:00:00,BUY,2.0,99.19999694824219,176157,50.8
AOI.ST,2023-12-15 00:00:00,BUY,10.0,18.395000457763672,987891,8.85
ADDT-B.ST,2023-11-20 00:00:00,BUY,1.0,194.60000610351562,400949,6.4
ATORX.ST,2023-11-27 00:00:00,BUY,479.0,0.4169999957084656,1375649,352.55
ANNE-B.ST,2023-12-14 00:00:00,BUY,12.0,16.219999313354492,67267,0.64
AMBEA.ST,2023-12-05 00:00:00,BUY,4.0,44.2599983215332,125417,32.76
AQ.ST,2023-12-27 00:00:00,BUY,0.0,490.5,11251,-2.0
ACAD.ST,2023-12-29 00:00:00,BUY,3.0,51.70000076293945,75866,5.35
AFRY.ST,2023-11-29 00:00:00,BUY,1.0,127.9000015258789,180080,3.3
ABB.ST,2023-11-30 00:00:00,BUY,0.0,417.1000061035156,1416051,-2.0
