Transaction Type,Ticker,Orderbook ID,Shares,Price,Date,Profit
BUY,LOGI-A.ST,85228,16,12.98,2024-01-17 10:47:50,
BUY,IRLAB-A.ST,732156,15,12.95,2024-01-17 10:20:00,
SELL,IRLAB-A.ST,732156,15,13.95,2024-01-17 11:13:00,
BUY,NGS.ST,659798,10,6.78,2024-01-17 11:19:59,
BUY,ERIC-B.ST,5240,4,64.3,2024-01-17 09:00:00,
SELL,ERIC-B.ST,5240,4,60.5,2024-01-17 08:54:02,-17.19999999999999
BUY,ACAD.ST,667476,1,55.05,2024-01-17 09:02:13,
BUY,INVE-B.ST,5247,1,237.15,2024-01-21 09:44:25,
BUY,KIND-SDB.ST,56267,2,121.65,2024-01-21 09:44:30,
BUY,CRAD-B.ST,88447,3,44.45,2024-01-21 09:44:30,
SELL,CRAD-B.ST,88447,3,42.2,2024-01-21 09:44:30,
BUY,NORVA.ST,1314433,4,28.3,2024-01-21 09:44:30,
BUY,NDA-SE.ST,5249,5,129.9,2024-01-25 15:34:05,
SELL,KIND-SDB.ST,56267,2,122.55,2024-01-30 10:02:31,0.0999999999999943
BUY,ARJO-B.ST,810953,4,46.66,2024-01-30 14:05:52,
BUY,BIOG-B.ST,5349,1,111.7,2024-01-30 14:06:17,
BUY,INSTAL.ST,752039,5,42.1,2024-01-30 14:07:41,
BUY,RVRC.ST,1241651,3,64.35,2024-01-30 14:08:34,
BUY,VOLCAR-B.ST,1296604,11,33.07,2024-02-01 11:43:44,
BUY,ALLEI.ST,1455120,5,69.98,2024-02-01 11:44:06,
BUY,CRAD-B.ST,88447,8,47.9,2024-02-01 11:44:16,
BUY,BALD-B.ST,5459,5,71.2,2024-02-01 11:44:21,
BUY,SDIP-B.ST,752256,1,266.8,2024-02-01 11:44:32,
BUY,INDT.ST,26607,1,267.3,2024-02-01 11:44:41,
BUY,LATO-B.ST,5321,1,265.8,2024-02-01 11:44:51,
BUY,BHG.ST,838544,22,17.51,2024-02-01 11:44:54,
BUY,NYF.ST,907825,1,95.85,2024-02-01 11:45:13,
BUY,EPRO-B.ST,1072320,1,61.15,2024-02-01 11:48:41,
BUY,WISE.ST,74787,3,34.2,2024-02-01 11:49:11,
BUY,OEM-B.ST,5329,1,100.6,2024-02-01 11:49:46,
BUY,SCST.ST,488892,1,64.9,2024-02-01 11:51:15,
BUY,ALIG.ST,572678,1,93.0,2024-02-01 11:54:54,
BUY,KFAST-B.ST,1022591,4,25.64,2024-02-01 11:56:40,
BUY,BORG.ST,78529,2,49.0,2024-02-01 12:02:47,
BUY,HANZA.ST,488235,1,80.2,2024-02-01 12:03:26,
BUY,ENGCON-B.ST,1418985,1,85.7,2024-02-01 12:12:20,
BUY,PACT.ST,5453,1,94.3,2024-02-01 12:47:40,

